,source-id,dc:title,citeScoreYearInfoList.citeScoreCurrentMetric,citeScoreYearInfoList.citeScoreTracker,SJR,SNIP,subject,subject_code
0,22697,American Economic Review,10.1,10.5,13.773,5.022,2,2002
1,17500,Journal of Finance,10.3,9.1,17.134,6.373,2,1402
2,29431,Quarterly Journal of Economics,22.7,17.9,36.22,12.503,2,2002
3,20246,Journal of Labor Economics,7.6,5.2,11.572,4.362,2,1410
4,24379,Journal of Financial Economics,8.7,8.2,11.999,5.285,2,1402
5,16161,Review of Financial Studies,8.5,8.1,12.837,4.903,2,1402
6,19482,Econometrica,8.1,7,14.563,4.852,2,2002
7,19900191767,American Economic Journal: Applied Economics,9.1,9.1,10.788,4.542,2,2000
8,28527,Experimental Economics,3.9,3.4,2.35,1.693,2,2001
9,15555,American Journal of Political Science,8.2,7,7.131,4.316,2,3312
10,15557,American Political Science Review,6.2,6.7,5.872,4.676,2,3312
11,24404,Journal of Political Economy,12.1,9.4,21.239,6.335,2,2002
12,13447,Comparative Political Studies,6.1,4.9,3.5,2.887,2,3312
13,30060,World Development,7.1,6.6,2.223,2.88,2,3305
14,27663,Journal of Conflict Resolution,4.9,4.6,3.031,2.646,2,1400
15,16232,British Journal of Political Science,6.1,6.2,3.82,3.205,2,3320
16,25725,World Politics,5,4,2.861,3.11,2,3312
17,21100835891,Journal of Experimental Political Science,2.3,1.9,1.624,1.086,2,3312
18,30039,Journal of Personality and Social Psychology,11.1,10.7,4.539,3.977,2,3207
19,15388,Journal of Applied Psychology,10.7,10.9,6.423,3.692,2,3202
20,15439,Journal of Consulting and Clinical Psychology,8.1,7.5,2.535,2.434,2,3203
21,15478,Journal of Experimental Psychology: General,6.6,5.5,2.721,1.933,2,3205
22,13468,Psychological Science,9.1,8.6,3.303,2.617,2,3200
23,24456,Child Development,8.4,8.4,2.88,2.598,4,2735
24,21100274406,Clinical Psychological Science,6.8,7.1,2.35,1.895,2,3203
25,14105,European Journal of Personality,6.2,6,2.67,1.878,2,3207
26,12857,Cognition,6,4.5,2.33,1.819,2,1203
27,15499,Journal of Experimental Social Psychology,5.6,5,2.488,2.203,2,3207
28,15470,Journal of Environmental Psychology,6.9,5.9,1.818,2.143,2,3207
29,21503,Evolution and Human Behavior,6.3,5.9,1.91,1.627,1,1105
30,16929,American Sociological Review,10.7,9.4,5.992,4.982,2,3312
31,15653,Journal of Marriage and Family,4.5,4.1,1.671,1.916,2,3314
32,26365,Demography,4.2,4.3,2.289,2.066,2,3317
33,16926,American Journal of Sociology,7.8,5.7,3.856,4.132,2,3312
34,14427,European Sociological Review,5.4,3.5,2.664,2.487,2,3312
35,17530,Social Forces,3.8,3.5,1.769,1.735,2,1202
36,20635,Journal of Management,17.6,15.6,6.982,6.28,2,2003
37,20550,Journal of Business Research,8.9,7.3,1.871,2.76,2,1406
38,20191,Academy of Management Journal,14,12.4,11.19,4.752,2,1403
39,21149,Leadership Quarterly,11.8,10.9,4.694,4.144,2,1403
40,22324,Organization Science,6.6,5,5.557,2.236,2,1408
41,21307,Management Science,7,6.9,5.439,3.254,2,1408
42,5800194481,Educational Researcher,6.6,5,3.678,3.615,2,3304
43,29432,American Educational Research Journal,5.9,5.6,3.223,4.18,2,3304
44,12808,Journal of Educational Psychology,9.1,8.2,3.272,3.062,2,3304
45,17645,Computers and Education,12.7,10.4,3.047,4.28,3,1700
46,13455,Learning and Instruction,7.1,6.3,2.647,2.91,2,3304
47,12882,Contemporary Educational Psychology,4.7,5.2,2.152,2.118,2,3304
48,22055,Exceptional Children,5.5,4.9,2.765,3.1,2,3304
49,22951,Journal of Marketing,15.1,9.7,8.626,5.154,2,1403
50,22899,Journal of Consumer Research,8.5,10.2,7.595,3.247,2,1403
51,24385,Journal of the Academy of Marketing Science,16.8,13.5,5.309,4.986,2,1403
52,22961,Journal of Marketing Research,8.9,8.1,7.325,3.103,2,1403
53,30020,Journal of Organizational Behavior,9.7,9.7,3.606,3.273,2,3202
54,22326,Organizational Behavior and Human Decision Processes,5.4,3.6,2.722,2.238,2,3202
55,18742,Psychological Medicine,9.5,9,2.903,2.166,2,3202
56,14277,Health Psychology,6.3,5.4,1.58,1.624,2,3202
57,18983,Social Science and Medicine,5.7,5.1,1.944,2.097,2,3306
58,17545,Law and Human Behavior,4.9,3.8,1.579,1.765,2,1201
59,19684,Criminology,7.6,6.1,4.297,3.466,4,2734
60,15823,Journal of Public Administration Research and Theory,6.8,6.1,3.321,3.02,2,3312
61,17167,Public Administration Review,7.4,6.5,2.867,3.111,2,3312
